,회사이름,회사코드,옥수치19/12,옥수치20/03,옥수치20/06,옥수치20/09
0,DSR,155660,1.345291479820628,1.5594541910331383,1.8286814244465832,1.1428571428571428
1,GS글로벌,001250,1.1345670975541708,1.7070822025737546,1.3985330073349633,0.7845631891433419
2,HDC현대산업개발,294870,4.964100024758604,4.282595134123519,4.288084771913481,4.328100009792082
3,KG케미칼,001390,0.7839098217606499,1.6421974566993236,1.8901341385517683,2.0034261490665197
4,LG이노텍,011070,4.240447343895619,2.685817714719449,0.8623115577889447,1.5731404740537402
5,LG전자,066570,0.28897467923242875,3.0349081233335005,1.4265557059348632,2.508881807859942
6,LG헬로비전,037560,0.1990229781074724,0.4711209006363191,0.6033739687230637,0.5696594427244582
7,OCI,010060,-1.6547671211691626,-2.401447589504976,-1.2032158183497204,0.48373733864286284
8,S&TC,100840,0.5808325266214909,2.054563826204109,2.4216984178237,2.3588039867109636
9,S&T모티브,064960,3.446411677253683,2.4447334200260076,1.7401700318809776,3.642940188606123
10,SK이노베이션,096770,0.3892807139212017,-6.199796040959446,-1.5530955946763119,-0.09743664089709139
11,STX,011810,-3.180129990714949,0.07040600797934757,0.9440993788819876,0.7147719537100068
12,YG PLUS,037270,-0.22988505747126436,-3.057757644394111,0.3558718861209964,0.5656108597285068
13,갤럭시아에스엠,011420,0.9900990099009901,-1.8867924528301887,2.586206896551724,6.722689075630252
14,고려아연,010130,3.5285435034108588,3.8364035828967387,3.0867683041596083,4.587958752981144
15,극동유화,014530,1.477832512315271,1.9031141868512111,1.7599277978339352,1.3668430335097002
16,까뮤이앤씨,013700,-0.370919881305638,1.5761821366024518,1.2927756653992395,1.4598540145985401
17,남선알미늄,008350,3.446075303126994,1.4659018483110262,-0.5681818181818182,-0.5772931366260423
18,대덕전자,353200,,,0.8894198858356563,1.2577800829875518
19,대영포장,014160,1.4014014014014013,1.4529058116232465,-0.1544004117344313,0.2043944813490036
20,대웅,003090,1.491628614916286,1.8433532201315588,1.50206241730874,2.1001239925604462
21,대한유화,006650,0.6734775412362308,-2.6452882611715673,4.3696058905184385,3.7385946202156655
22,두산,000150,1.1330740188043806,0.3567531927252176,0.0319913177993213,0.8858608619825518
23,두산밥캣,241560,1.6023226616446955,1.2633172265238402,0.9450864462957986,1.7128787067765765
24,락앤락,115390,1.648527528809219,0.1328462304882099,0.7667944657442907,1.552
25,롯데정보통신,286940,3.6978221415607986,1.3959981386691485,2.7867342238599724,2.4085435128379915
26,마니커,027740,-5.8212058212058215,-7.574704656011119,-6.180555555555555,-3.8654259126700072
27,만도,204320,1.5305879552487502,0.44520383115945517,-1.9969480109450641,1.5683274361671606
28,메리츠증권,008560,0.6187946219829319,0.36734465915899145,0.5457972626470922,0.5061819384749353
29,모두투어리츠,204210,92.85714285714286,25.0,30.0,33.33333333333333
30,부국증권,001270,0.4128250997660658,0.36138117553799165,0.3729365439951537,0.5196126122142131
31,삼성SDI,006400,0.19448664234777308,0.511770726714432,0.962278319072208,2.412965402732408
32,삼성엔지니어링,028050,1.9479002394719935,2.557965594614809,2.505914308244984,2.6701165675264744
33,삼성중공업,010140,-1.7863077434363575,-0.3836614789427638,-5.968626128025639,-0.11540581507509991
34,삼성출판사,068290,1.5926640926640927,0.33444816053511706,-0.9013520280420632,-1.134020618556701
35,삼성화재해상보험,000810,0.057744746832059025,0.28469776145000697,0.4480695727311687,0.31679263734154656
36,삼양홀딩스,000070,-0.7208840542173875,1.3587296294752635,1.420801888781146,2.6223270050047565
37,삼영전자공업,005680,-0.25817555938037867,0.6736842105263158,1.5611814345991561,1.118279569892473
38,삼영화학공업,003720,0.5660377358490566,0.3875968992248062,1.147227533460803,0.19212295869356388
39,상상인증권,001290,0.4606060606060606,0.577046377431075,0.6006628003314002,-0.35453135386660756
40,선도전기,007610,-0.09328358208955223,-1.6047297297297296,2.566225165562914,1.519213583556747
41,세방전지,004490,2.742782152230971,2.7316550615961437,2.355460385438972,3.098664592246856
42,세원셀론텍,091090,0.771055753262159,0.4976580796252928,0.0916030534351145,-0.5164034021871203
43,신한알파리츠,293940,163.63636363636365,0.0,225.0,0.0
44,신한지주,055550,0.1678683964975045,0.218542992259226,0.21820021329800968,0.2494731277748618
45,쌍용자동차,003620,-5.326359609329135,-5.712299403279069,-7.118108321682573,-5.778769841269842
46,에넥스,011090,-2.7447392497712717,-1.443298969072165,-2.727272727272727,0.7067137809187279
47,영화금속,012280,0.051440329218107,0.1519756838905775,-1.2935883014623173,-1.1345218800648298
48,윌비스,008600,-8.768511301636789,0.942684766214178,-1.6306408797876375,0.8365019011406843
49,유나이티드,033270,5.060352831940575,4.208144796380091,4.26497277676951,4.821428571428572
50,인지컨트롤스,023800,0.9632446134347276,0.40496076942546194,-1.0369582557830364,0.7594936708860759
51,인터지스,129260,-1.102629346904156,0.26896180742334586,0.20768431983385255,0.4735595895816891
52,일성건설,013360,1.0697911360163017,0.4187994416007445,1.6630901287553648,1.1784511784511784
53,일진다이아,081000,0.31520882584712373,2.2222222222222223,1.209103840682788,2.766531713900135
54,제일약품,271980,0.0,,1.0755316548521143,0.291970802919708
55,제일연마,001560,2.9494382022471908,1.8335684062059237,0.5657708628005658,1.3846153846153846
56,제일파마홀딩스,002620,-1.1036468330134357,1.3396375098502757,1.142944224321853,0.45330915684496825
57,조흥,002600,1.8343195266272188,1.26861555432984,1.0983263598326358,1.706827309236948
58,지역난방공사,071320,0.6009160095044594,2.1266295515059306,-0.7501463051304332,-0.228812813517557
59,진도,088790,0.08438818565400844,0.0966183574879227,-1.2974976830398517,-0.8181818181818182
60,코오롱인더,120110,0.2463161565960415,0.582200057121515,0.8358507279623867,0.649997735199529
61,키다리스튜디오,020120,0.78125,3.9145907473309607,5.818181818181818,4.529616724738676
62,태경산업,015890,-0.06690454950936663,0.6895017793594307,1.1082291912284838,0.5453306066803
63,태양금속공업,004100,-3.550135501355014,-0.08246289169873557,-1.1160058737151248,1.3121924548933843
64,포스코강판,058430,0.1613228473482557,0.6993006993006993,0.7548845470692718,1.2008733624454149
65,한국공항,005430,1.539882968894364,-3.8054968287526427,-7.32162868883078,-3.8211692777990067
66,한국종합기술,023350,-0.6781750924784217,0.30656039239730226,0.49261083743842365,0.4143646408839779
67,한국패러랠,168490,,,,
68,한솔로지스틱스,009180,1.3475177304964538,1.9553072625698324,2.524916943521595,2.9889538661468484
69,한일철강,002220,-1.7161716171617163,-1.2541254125412542,-0.9427609427609427,-1.5429831006612784
70,한일현대시멘트,006390,1.2272627657243043,-1.0953902327704246,5.985267034990792,4.15506035283194
71,한창제지,009460,1.7806267806267806,2.1379310344827585,2.6038001407459537,3.879598662207358
72,한화생명,088350,-0.09549436310005767,0.07100140437647534,0.08536571812781658,0.14266131968271129
73,현대건설기계,267270,0.29241005212527016,0.44348655033779577,1.803039409289946,1.1647991496523318
74,현대모비스,012330,3.055287998458871,1.7434866835105485,0.8076871516938928,2.724660385177629
75,현대비앤지스틸,004560,2.489048187972919,0.8659712654989176,0.9324492333195192,2.505446623093682
76,현대엘리베이터,017800,2.8881346908897316,1.5378416493183802,3.2935242192715672,2.797973121833003
77,현대차증권,001500,0.1533010340588618,0.3526942215686901,0.4074679206184745,0.5680928163410228
78,현대홈쇼핑,057050,2.7055987141709084,2.573922337014606,3.8912964969303,3.5704375173434464
79,호전실업,111110,-0.8097165991902834,-1.112307140294223,0.32526201662450305,2.5154939846882973
80,EDGC,245620,-4.864864864864865,-6.9216757741347905,-2.8475711892797317,2.4232633279483036
81,GST,083450,7.163886162904809,7.8,5.348133198789102,2.3230088495575223
82,GS홈쇼핑,028150,6.907667510937141,6.895037329819939,9.06707450294953,8.115631691648822
83,IBKS제13호스팩,351340,,,,
84,ITX-AI,099520,-7.731958762886598,-2.6178010471204187,-2.1164021164021163,-1.9138755980861244
85,JW신약,067290,-0.32608695652173914,0.4273504273504274,0.411522633744856,1.5463917525773196
86,KB오토시스,024120,2.260738507912585,1.1169024571854058,-0.9111617312072893,1.2546125461254614
87,KH바텍,060720,1.4258188824662814,0.6701940035273368,-0.22018348623853212,1.1103400416377516
88,SK5호스팩,337450,,0.0,,
89,SK6호스팩,340350,,,,0.0
90,YW,051390,1.0889292196007259,1.8214936247723135,1.468189233278956,1.669449081803005
91,경남제약헬스케어,223310,7.142857142857142,-8.60215053763441,-11.11111111111111,-2.312138728323699
92,경창산업,024910,-0.7396169163663948,-1.1027963765261914,0.5528255528255528,0.7877196525954353
93,고려시멘트,198440,-2.0454545454545454,-2.796420581655481,2.6285714285714286,2.6285714285714286
