,회사코드,회사이름,corr
0,155660,DSR,-0.9993962327340478
1,001250,GS글로벌,-0.03206314008085527
2,294870,HDC현대산업개발,0.9578625129996587
3,001390,KG케미칼,0.6930762797006329
4,011070,LG이노텍,-0.7452398334498396
5,066570,LG전자,0.09209698940516492
6,037560,LG헬로비전,-0.9835066821443375
7,010060,OCI,0.09258930508325168
8,100840,S&TC,-0.9505448329919607
9,064960,S&T모티브,0.946987320509317
10,096770,SK이노베이션,0.6432381021788697
11,011810,STX,-0.8796917880017027
12,037270,YG PLUS,0.5235714531921796
13,011420,갤럭시아에스엠,-0.5491025936058506
14,010130,고려아연,0.23905014145062795
15,014530,극동유화,0.20725832393616994
16,013700,까뮤이앤씨,0.6049572328641857
17,008350,남선알미늄,-0.9607838626643024
18,014160,대영포장,0.40407326386930265
19,003090,대웅,0.5902245996361308
20,006650,대한유화,0.8806678738266337
21,000150,두산,0.6829961945843697
22,241560,두산밥캣,0.6348281530984
23,115390,락앤락,-0.0286761674418841
24,286940,롯데정보통신,0.8353921132763436
25,027740,마니커,0.08074426316947975
26,204320,만도,0.7968507803086053
27,008560,메리츠증권,0.5685593820655849
28,001270,부국증권,0.32444556162676885
29,006400,삼성SDI,0.9880055146173737
30,028050,삼성엔지니어링,-0.8589079762518383
31,010140,삼성중공업,0.43898390116142266
32,068290,삼성출판사,-0.7400105332928906
33,000810,삼성화재해상보험,-0.9005007583188531
34,000070,삼양홀딩스,-0.04236841818276509
35,005680,삼영전자공업,-0.9806324301424794
36,003720,삼영화학공업,-0.4385388038570493
37,001290,상상인증권,0.5558128986186374
38,007610,선도전기,-0.2988016417620428
39,004490,세방전지,0.00032408575819947293
40,091090,세원셀론텍,-0.06881915756644343
41,055550,신한지주,-0.9072060399385284
42,003620,쌍용자동차,0.30148666100016175
43,011090,에넥스,-0.21708808979483502
44,012280,영화금속,-0.7393526691202855
45,008600,윌비스,-0.0850427651993255
46,033270,유나이티드,0.4016710174503832
47,023800,인지컨트롤스,0.5928318316206443
48,129260,인터지스,-0.00800170139571751
49,013360,일성건설,-0.2675422649258756
50,081000,일진다이아,0.6127877785521272
51,001560,제일연마,0.9049873637931518
52,002620,제일파마홀딩스,-0.2918276455960604
53,002600,조흥,0.5986970205580242
54,071320,지역난방공사,0.3620354198031234
55,088790,진도,0.8714386002681782
56,120110,코오롱인더,-0.9951608471372364
57,020120,키다리스튜디오,0.5250506601454882
58,015890,태경산업,-0.9498092442722279
59,004100,태양금속공업,-0.277319938421357
60,058430,포스코강판,-0.8305034294631838
61,005430,한국공항,0.36663405014534506
62,023350,한국종합기술,0.026470214513310854
63,009180,한솔로지스틱스,0.828106440060857
64,002220,한일철강,-0.8185090251710517
65,006390,한일현대시멘트,0.14164456222818655
66,009460,한창제지,-0.8799002716142729
67,088350,한화생명,-0.9780063586013953
68,267270,현대건설기계,-0.8226453088739688
69,012330,현대모비스,0.9255109805547883
70,004560,현대비앤지스틸,0.48019423693886737
71,017800,현대엘리베이터,0.5197212744914602
72,001500,현대차증권,-0.32001169523899853
73,057050,현대홈쇼핑,-0.7506159891377082
74,111110,호전실업,-0.938834421816812
75,245620,EDGC,0.8341903170696405
76,083450,GST,-0.7895581581863105
77,028150,GS홈쇼핑,-0.7245456876304469
78,099520,ITX-AI,0.6896724347323039
79,067290,JW신약,0.8243975862812966
80,024120,KB오토시스,-0.018940280360263066
81,060720,KH바텍,-0.3231167924167025
