,회사코드,상승율,업종
0,155660,-0.40080992285188133,1차 비철금속 제조업
1,001250,0.11778261776433072,상품 종합 도매업
2,294870,2.707016561547787,건물 건설업
3,092220,-1.3611605740299624,반도체 제조업
4,016380,1.9578683208911536,1차 철강 제조업
5,001390,-0.32529840591336967,기초 화학물질 제조업
6,058860,-0.9404466312642444,기타 정보 서비스업
7,011070,2.6868445249204935,전자부품 제조업
8,066570,0.1361440626082017,통신 및 방송 장비 제조업
9,037560,-0.6699276896506596,텔레비전 방송업
10,010060,-3.283157849604301,기초 화학물질 제조업
11,096770,-6.615422829227261,석유 정제품 제조업
12,011810,-2.6150612664618884,상품 종합 도매업
13,024070,-0.5687349893613152,플라스틱제품 제조업
14,011420,14.02392107070836,스포츠 서비스업
15,002100,0.2590145263044663,"비료, 농약 및 살균, 살충제 제조업"
16,012320,-1.9656373756595689,기타 금융업
17,007690,-1.23502041752457,기초 화학물질 제조업
18,005320,9.692470321694168,생활용품 도매업
19,014530,-0.5169269132145896,석유 정제품 제조업
20,000270,1.5985970716034312,자동차용 엔진 및 자동차 제조업
21,013700,-0.915690412615744,건물 건설업
22,003090,0.38754571304474456,기타 금융업
23,145720,-2.301821568118893,의료용 기기 제조업
24,042670,-0.06271751779449276,특수 목적용 기계 제조업
25,034020,-1.0360238827772643,일반 목적용 기계 제조업
26,026890,5.414757249455538,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
27,115390,-1.679941788589472,플라스틱제품 제조업
28,286940,1.7676982061578317,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
29,027740,-8.601759041467531,"도축, 육류 가공 및 저장 처리업"
30,008560,0.027767154791104327,금융 지원 서비스업
31,017180,-5.688806448690978,의약품 제조업
32,001270,0.40717276844899475,금융 지원 서비스업
33,006400,0.9515154829628347,일차전지 및 축전지 제조업
34,028050,3.1703938798732514,"건축기술, 엔지니어링 및 관련 기술 서비스업"
35,068290,-2.797047816725942,"서적, 잡지 및 기타 인쇄물 출판업"
36,000810,-0.24126326137208523,보험업
37,003720,4.939929045523865,플라스틱제품 제조업
38,010960,-5.087177263499676,기반조성 및 시설물 축조관련 전문공사업
39,001290,0.6602669840444972,금융 지원 서비스업
40,007610,-0.07613253031731014,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
41,136490,0.13429080688885417,동물용 사료 및 조제식품 제조업
42,002420,-0.6506243403938667,"영화, 비디오물, 방송프로그램 제작 및 배급업"
43,004490,0.44411237517536,일차전지 및 축전지 제조업
44,003030,0.22705559643898612,기타 금융업
45,091090,-0.5707357223513507,"구조용 금속제품, 탱크 및 증기발생기 제조업"
46,055550,-0.028433224269559316,기타 금융업
47,003620,-8.854488077473112,자동차용 엔진 및 자동차 제조업
48,012280,-2.2216803161205987,자동차 신품 부품 제조업
49,007310,-0.7212324095271045,기타 식품 제조업
50,008600,-1.3424851290894244,생활용품 도매업
51,033270,0.2069981882953513,의약품 제조업
52,023800,-0.8994481056560495,자동차 신품 부품 제조업
53,129260,-0.2621085437441717,도로 화물 운송업
54,013360,-0.38274329212277364,토목 건설업
55,081000,-1.5627254015134626,기타 화학제품 제조업
56,033240,-6.542252207704344,전자부품 제조업
57,271980,0.4106705546933317,의약품 제조업
58,002620,-3.2974985292804853,회사 본부 및 경영 컨설팅 서비스업
59,001550,0.6689532546615913,"비료, 농약 및 살균, 살충제 제조업"
60,002600,-1.625644383905666,기타 식품 제조업
61,001630,0.9084463896919064,의약품 제조업
62,071320,0.07509639962312249,"증기, 냉·온수 및 공기조절 공급업"
63,120110,-0.20473165137894292,화학섬유 제조업
64,264900,0.517177149228212,기타 식품 제조업
65,020120,6.137383897347417,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
66,015890,-0.5658673911744656,기초 화학물질 제조업
67,004100,-1.7227117493402628,자동차 신품 부품 제조업
68,005490,-1.212623570257179,1차 철강 제조업
69,058430,-0.7564800933574533,1차 철강 제조업
70,033180,-1.5826291005523834,전자부품 제조업
71,005430,-8.661466747954353,기타 운송관련 서비스업
72,023350,2.6199056136302996,"건축기술, 엔지니어링 및 관련 기술 서비스업"
73,009180,1.8138643057810016,기타 운송관련 서비스업
74,002220,-2.09575516051902,1차 철강 제조업
75,009460,-0.6729604050630824,"펄프, 종이 및 판지 제조업"
76,088350,-0.20112780494860366,보험업
77,000720,-0.634749803614607,토목 건설업
78,267270,-0.5157659776621223,일반 목적용 기계 제조업
79,004560,0.10555788730154234,1차 철강 제조업
80,017800,0.576260882530622,일반 목적용 기계 제조업
81,001500,0.1387679977968296,금융 지원 서비스업
82,111110,-1.5638350255515772,봉제의복 제조업
83,245620,30.000634659075754,자연과학 및 공학 연구개발업
84,083450,-1.9903622966100494,특수 목적용 기계 제조업
85,028150,-1.135259074412365,텔레비전 방송업
86,067290,0.7351328303586382,의약품 제조업
87,024120,-2.850259656146102,자동차 신품 부품 제조업
88,060720,4.658650528189242,전자부품 제조업
89,053290,0.6003005511757098,"서적, 잡지 및 기타 인쇄물 출판업"
90,051390,-0.413218400743348,상품 종합 도매업
91,217730,0.1245699446672489,기초 의약물질 및 생물학적 제제 제조업
92,044480,1.7318834998019386,고무제품 제조업
93,024910,1.0147517636137886,자동차 신품 부품 제조업
94,215000,-4.283721646004047,소프트웨어 개발 및 공급업
95,043650,2.779305296790476,알코올음료 제조업
96,078130,-0.028881018830055737,기타 종이 및 판지 제품 제조업
97,204020,-5.7110528673994025,봉제의복 제조업
98,286750,4.255521226700118,기초 화학물질 제조업
99,151910,7.122731562905955,전자부품 제조업
100,094860,-7.652361586143889,소프트웨어 개발 및 공급업
101,095660,8.874194760939078,소프트웨어 개발 및 공급업
102,085910,-0.2800079164161502,자동차 신품 부품 제조업
103,007390,-7.110455517247002,기초 의약물질 및 생물학적 제제 제조업
104,031390,-1.3759149557070605,기초 의약물질 및 생물학적 제제 제조업
105,054050,-1.118170288723883,작물 재배업
106,012340,2.4706992484272625,전자부품 제조업
107,078140,-1.9280511059341539,의약품 제조업
108,290380,-6.8142660872087895,"비료, 농약 및 살균, 살충제 제조업"
109,290120,-0.12458471760797407,자동차 신품 부품 제조업
110,003310,0.19578221820706906,동물용 사료 및 조제식품 제조업
111,060900,0.12699108226660966,기타 화학제품 제조업
112,023910,-0.7652887310480517,의약품 제조업
113,006620,-3.7072060748534716,의약품 제조업
114,196490,-8.287437697460549,특수 목적용 기계 제조업
115,066900,-0.3408300360294937,전자부품 제조업
116,127120,-20.742121869416582,자연과학 및 공학 연구개발업
117,092070,-4.551178286807763,기타 화학제품 제조업
118,033130,-6.676275331935711,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
119,060240,-2.2466652172494204,소프트웨어 개발 및 공급업
120,219420,-7.722808781632313,소프트웨어 개발 및 공급업
121,086900,-14.839833664875677,기초 의약물질 및 생물학적 제제 제조업
122,021880,0.9250875225797414,기타 금융업
123,327260,-6.64542648512856,전자부품 제조업
124,080160,-10.634780060639589,여행사 및 기타 여행보조 서비스업
125,250060,13.980467618031327,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
126,118990,-4.896531828961259,자동차 신품 부품 제조업
127,028040,0.6052206211740725,상품 중개업
128,207760,12.440637574984631,기타 정보 서비스업
129,214610,9.222050813616711,의료용 기기 제조업
130,206640,20.065035345820238,의료용품 및 기타 의약 관련제품 제조업
131,053030,5.196188939389336,의약품 제조업
132,337930,-44.0435440216526,기타 정보 서비스업
133,023600,1.9696385833057566,"펄프, 종이 및 판지 제조업"
134,111870,-14.761748634295168,영상 및 음향기기 제조업
135,009300,-1.1761764028402424,의약품 제조업
136,042940,4.009285983582793,건물 건설업
137,100660,-3.093151806178443,일반 목적용 기계 제조업
138,086710,-2.86271011286601,기타 화학제품 제조업
