,회사이름,회사코드,옥수치17/12,옥수치18/12,옥수치19/12,옥수치20/09,업종
0,DSR,155660,7.370095440084835,5.040733197556008,5.331340308918784,4.476190476190476,1차 비철금속 제조업
1,GS글로벌,1250,3.8177046051061803,4.609317229479911,5.421742769459685,4.368108566581848,상품 종합 도매업
2,HDC현대산업개발,294870,,10.045503381154015,17.067962366922508,13.617521297777195,건물 건설업
3,KG케미칼,1390,6.777550475851642,6.462827598502408,3.3759620061225077,5.5921721204378505,기초 화학물질 제조업
4,LG이노텍,11070,5.417405126893351,5.167375914341183,8.166862514688601,4.756374386316844,전자부품 제조업
5,LG전자,66570,7.7494922096962044,7.926264308500657,6.915237878959918,6.657562486592264,통신 및 방송 장비 제조업
6,LG헬로비전,37560,4.194235084287441,3.8367253862379567,1.8334237983233819,1.6222910216718265,텔레비전 방송업
7,OCI,10060,5.826197402384563,3.5303539252107763,-4.654999097868392,-3.183045139909667,기초 화학물질 제조업
8,S&TC,100840,8.149405772495756,-0.9165460684997588,5.646982897708937,6.877076411960133,일반 목적용 기계 제조업
9,S&T모티브,64960,9.782498735457764,6.124381774176576,12.055683200432492,7.763854799121561,자동차 신품 부품 제조업
10,SK이노베이션,96770,11.894398357865667,7.562611243954621,4.152218572942701,-7.565331436297002,석유 정제품 제조업
11,STX,11810,9.981892258940695,-3.442661083973017,0.39461467038068704,2.110279101429544,상품 종합 도매업
12,YG PLUS,37270,-9.820193637621024,2.1879021879021883,0.0,-2.0361990950226243,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
13,갤럭시아에스엠,11420,-13.750000000000002,-69.0721649484536,-7.920792079207921,6.722689075630252,스포츠 서비스업
14,고려아연,10130,19.58844133099825,16.7656924864616,16.06295129054135,10.90540981075099,1차 비철금속 제조업
15,극동유화,14530,7.165437302423602,9.08646800195408,7.4787281683833395,5.026455026455026,석유 정제품 제조업
16,까뮤이앤씨,13700,8.086469175340271,3.2258064516129035,10.979228486646884,4.087591240875913,건물 건설업
17,남선알미늄,8350,11.542730299667035,5.181918412348401,7.402680280791321,0.2565747273893521,1차 비철금속 제조업
18,대덕전자,353200,,,,2.1265560165975104,전자부품 제조업
19,대영포장,14160,-1.346633416458853,4.487482286254133,6.706706706706708,1.5840572304547778,"골판지, 종이 상자 및 종이용기 제조업"
20,대웅,3090,6.81616520125837,6.867878041268864,8.181126331811264,5.471171729696218,기타 금융업
21,대한유화,6650,15.797665369649804,18.085890962727632,6.49506306717653,5.320535608484418,기초 화학물질 제조업
22,두산,150,4.876398581684688,4.922793656107461,5.145110127129357,1.289265762333392,회사 본부 및 경영 컨설팅 서비스업
23,두산밥캣,241560,6.885057070054801,7.820753109558697,7.4858757062146895,4.011500757031214,특수 목적용 기계 제조업
24,락앤락,115390,9.648466716529544,6.596782938731249,3.889244558258643,2.4,플라스틱제품 제조업
25,롯데정보통신,286940,1.1899416255051638,8.889901983131981,9.323956442831218,6.5212451715519215,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
26,마니커,27740,3.0078465562336536,0.32299741602067183,-10.395010395010397,-20.830350751610595,"도축, 육류 가공 및 저장 처리업"
27,만도,204320,2.0001437229022443,4.708857136041601,5.203522970721257,0.19843167256383284,자동차 신품 부품 제조업
28,메리츠증권,8560,1.9097394126991645,1.7421272083417882,1.8591182655156664,1.3974124154437788,금융 지원 서비스업
29,모두투어리츠,204210,180.0,255.55555555555557,167.85714285714286,100.0,부동산 임대 및 공급업
30,부국증권,1270,3.4876861819790586,2.6515959337456456,2.4769505985963947,1.2957148542873569,금융 지원 서비스업
31,삼성SDI,6400,1.8677104968844864,7.559178322602472,4.47222517876322,3.8360194192279233,일차전지 및 축전지 제조업
32,삼성엔지니어링,28050,1.1970393057682491,5.296974992932227,11.258104082705447,7.239456907359493,"건축기술, 엔지니어링 및 관련 기술 서비스업"
33,삼성중공업,10140,-4.37040927774026,-3.270762911642254,-5.122964440013293,-6.622915805429241,선박 및 보트 건조업
34,삼성출판사,68290,7.010834926704908,2.010968921389397,2.3166023166023164,-1.7010309278350515,"서적, 잡지 및 기타 인쇄물 출판업"
35,삼성화재해상보험,810,1.6727630651361385,1.8445647765429545,1.0249098480932946,1.032517798879516,보험업
36,삼양홀딩스,70,4.688018979833927,6.098634962571555,3.4274367607700937,5.3646027215949035,기타 금융업
37,삼영전자공업,5680,3.763213530655391,5.242096838735495,1.9793459552495696,3.3978494623655915,전자부품 제조업
38,삼영화학공업,3720,-13.450292397660814,-6.200787401574804,-0.8490566037735849,1.7291066282420748,플라스틱제품 제조업
39,상상인증권,1290,-1.1375630350650874,-2.59326660600546,-1.3090909090909093,0.8641701750498559,금융 지원 서비스업
40,선도전기,7610,1.5592515592515594,1.1530398322851152,-1.5858208955223883,2.5022341376228776,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
41,세방전지,4490,9.576073535464397,16.981995727799813,13.871391076115485,8.025411642681187,일차전지 및 축전지 제조업
42,세원셀론텍,91090,1.1497730711043872,-3.0589719331441185,0.4744958481613286,0.09113001215066828,"구조용 금속제품, 탱크 및 증기발생기 제조업"
43,신한알파리츠,293940,333.33333333333337,279.48717948717945,274.5098039215686,70.15706806282722,부동산 임대 및 공급업
44,신한지주,55550,0.9090291995368937,0.9888400019339896,0.9322265755973996,0.6764082734274417,기타 금융업
45,쌍용자동차,3620,-3.2376419257276017,-3.1605375867670946,-15.045097934567965,-19.159226190476197,자동차용 엔진 및 자동차 제조업
46,에넥스,11090,2.5179856115107917,0.6949806949806949,-2.5617566331198534,-3.886925795053004,가구 제조업
47,영화금속,12280,4.27807486631016,0.5620848237097598,1.02880658436214,-2.215018908698001,자동차 신품 부품 제조업
48,윌비스,8600,2.4492652204338703,1.1980267794221282,-7.677318784099767,0.1520912547528517,생활용품 도매업
49,유나이티드,33270,16.808059384941675,18.529411764705888,16.016713091922007,13.169642857142858,의약품 제조업
50,인지컨트롤스,23800,1.5954052329291641,3.39034819792303,1.4195183776932827,0.17721518987341772,자동차 신품 부품 제조업
51,인터지스,129260,3.2454802875190585,2.2102045614860097,1.8377155781735937,0.9471191791633782,도로 화물 운송업
52,일성건설,13360,8.306503541532518,6.875000000000001,3.769740193581253,3.4231200897867566,토목 건설업
53,일진다이아,81000,11.02775693923481,12.5,10.401891252955082,5.937921727395412,기타 화학제품 제조업
54,제일약품,271980,1.2674271229404308,1.8546365914786969,0.10403120936280884,2.6520681265206814,의약품 제조업
55,제일연마,1560,9.828393135725431,7.747489239598278,9.691011235955058,4.153846153846153,기타 비금속 광물제품 제조업
56,제일파마홀딩스,2620,14.426229508196723,1.551380586393396,1.4395393474088292,2.8709579933514657,회사 본부 및 경영 컨설팅 서비스업
57,조흥,2600,11.137440758293838,7.91117279666898,7.278106508875741,3.9156626506024104,기타 식품 제조업
58,지역난방공사,71320,2.1312933641700766,0.2617234034872387,0.726609043011123,1.1915867288568158,"증기, 냉·온수 및 공기조절 공급업"
59,진도,88790,8.839354342813222,5.6197074672825265,-2.447257383966245,-2.0,기타 전문 도매업
60,코오롱인더,120110,4.299300820775612,3.580085372916622,3.768855174819077,2.0836164333922182,화학섬유 제조업
61,키다리스튜디오,20120,-5.0,2.803738317757009,2.734375,13.937282229965156,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
62,태경산업,15890,4.791004644341236,4.728227924833299,2.408563782337199,2.3176550783912746,기초 화학물질 제조업
63,태양금속공업,4100,2.8843380444188065,1.9485791610284169,-4.769647696476965,0.2460360852925096,자동차 신품 부품 제조업
64,포스코강판,58430,5.8965683905268245,3.9573143619386393,2.016535591853196,2.663755458515284,1차 철강 제조업
65,한국공항,5430,9.424083769633508,8.330522765598651,6.775485063135202,-16.125334352311807,기타 운송관련 서비스업
66,한국종합기술,23350,-4.740259740259741,-4.6096654275092925,-1.294697903822441,1.3121546961325967,"건축기술, 엔지니어링 및 관련 기술 서비스업"
67,한국패러랠,168490,,,,,신탁업 및 집합투자업
68,한솔로지스틱스,9180,2.918781725888325,3.689687795648061,6.73758865248227,7.277452891487979,기타 운송관련 서비스업
69,한일철강,2220,2.7157513578756793,-1.279707495429616,-4.818481848184819,-2.5716385011021305,1차 철강 제조업
70,한일현대시멘트,6390,5.820476858345021,4.759693522173206,7.714223098838483,9.076137418755804,"시멘트, 석회, 플라스터 및 그 제품 제조업"
71,한창제지,9460,13.318112633181126,8.441558441558442,7.763532763532764,8.428093645484951,"펄프, 종이 및 판지 제조업"
72,한화생명,88350,0.7728624282179903,0.5024290769044125,0.03552275253872627,0.2962859790607107,보험업
73,현대건설기계,267270,5.288888888888889,8.284047155956017,6.687290757299656,3.494397448956996,일반 목적용 기계 제조업
74,현대모비스,12330,10.966092791265684,10.802823137780008,11.362454247736466,5.136916119806728,자동차 신품 부품 제조업
75,현대비앤지스틸,4560,6.339046045839355,6.800077715173888,7.268020708880924,4.466230936819173,1차 철강 제조업
76,현대엘리베이터,17800,8.481163417539019,9.122784648731352,9.063685366340588,7.740324594257178,일반 목적용 기계 제조업
77,현대차증권,1500,0.9606258448618022,1.0431026560058818,1.4230963916407549,1.340866132687267,금융 지원 서비스업
78,현대홈쇼핑,57050,53.251168720781976,10.081694945686328,11.581391195642466,10.230320969383037,무점포 소매업
79,호전실업,111110,6.9361506660542025,4.665226781857451,7.813765182186232,1.7134524243528984,봉제의복 제조업
80,EDGC,245620,-108.0,-15.59633027522936,-15.495495495495494,-6.462035541195476,자연과학 및 공학 연구개발업
