,종목명,Sector,Industry_Group,시장,결산,분기_영업이익,컨센_영업이익,전년_영업이익,컨센대비,발표,공시일
0,삼천리,유틸리티,유틸리티,유,4Q,300.9,16.0,72.2,"1,780.56",잠정,2021-02-09
1,메가스터디교육,경기소비재,소비자 서비스,코,4Q,17.9,2.0, ,795.50,확정, 
2,키이스트,경기소비재,미디어,코,4Q,10.9,3.0, ,264.33,확정, 
3,신성이엔지,에너지,에너지,유,4Q,68.0,25.0,25.7,171.96,잠정,2021-02-09
4,코오롱플라스틱,소재,소재,유,4Q,57.0,21.0,-8.3,171.19,잠정,2021-02-08
5,오스템임플란트,의료,의료 장비 및 서비스,코,4Q,471.9,177.7,117.4,165.62,잠정,2021-01-28
6,대우건설,산업재,자본재,유,4Q,"2,532.7","1,148.4", ,120.54,확정, 
7,LG디스플레이,IT,디스플레이,유,4Q,"6,854.7","3,139.1", ,118.36,확정, 
8,LIG넥스원,산업재,상업서비스,유,4Q,209.7,100.2,-112.0,109.24,잠정,2021-02-04
9,루트로닉,의료,의료 장비 및 서비스,코,4Q,99.3,49.0,40.4,102.61,잠정,2021-03-16
10,한국전력,유틸리티,유틸리티,유,4Q,"9,337.1","4,726.7", ,97.54,확정, 
11,금화피에스시,산업재,자본재,코,4Q,17.7,9.0, ,96.33,확정, 
12,메리츠증권,금융,증권,유,4Q,"2,534.6","1,326.7","2,263.4",91.05,잠정,2021-02-01
13,지엔씨에너지,산업재,자본재,코,4Q,31.1,16.5,15.2,88.67,잠정,2021-02-19
14,KPX케미칼,소재,소재,유,4Q,264.7,147.5, ,79.46,확정, 
15,한미약품,의료,제약 및 바이오,유,4Q,416.2,233.7,298.9,78.07,잠정,2021-02-04
16,KCC,산업재,자본재,유,4Q,538.5,310.0, ,73.72,확정, 
17,삼표시멘트,소재,소재,코,4Q,371.4,222.0, ,67.30,확정, 
18,쎄트렉아이,산업재,상업서비스,코,4Q,48.5,30.0, ,61.50,확정, 
19,롯데쇼핑,경기소비재,유통,유,4Q,"1,815.0","1,139.5", ,59.28,확정, 
20,DB손해보험,금융,보험,유,4Q,938.6,600.0,703.9,56.43,잠정,2021-02-10
21,하나금융지주,금융,은행,유,4Q,"9,523.1","6,117.1","7,492.6",55.68,잠정,2021-02-05
22,한국자산신탁,금융,부동산,유,4Q,516.0,332.0,309.2,55.42,잠정,2021-02-09
23,SK렌터카,경기소비재,소비자 서비스,유,4Q,157.6,102.0, ,54.46,확정, 
24,신세계푸드,필수소비재,음식료 및 담배,유,4Q,47.6,31.0, ,53.39,확정, 
25,NAVER,IT,소프트웨어,유,4Q,"4,715.2","3,129.2", ,50.68,확정, 
26,하이록코리아,산업재,자본재,코,4Q,44.9,30.0, ,49.70,확정, 
27,기업은행,금융,은행,유,4Q,"5,532.8","3,733.2","3,969.4",48.21,잠정,2021-02-05
28,효성첨단소재,소재,소재,유,4Q,366.6,248.5, ,47.54,확정, 
29,한국콜마,필수소비재,생활용품,유,4Q,389.5,266.8,362.9,46.01,잠정,2021-02-17
30,효성티앤씨,경기소비재,내구소비재 및 의류,유,4Q,"1,301.0",904.0, ,43.92,확정, 
31,SBS,경기소비재,미디어,유,4Q,383.2,273.0, ,40.35,확정, 
32,에스티아이,IT,반도체,코,4Q,29.3,21.0,47.1,39.33,잠정,2021-02-10
33,노바텍,소재,소재,코,4Q,91.8,66.0, ,39.05,확정, 
34,HDC현대산업개발,산업재,자본재,유,4Q,"1,684.9","1,229.1", ,37.09,확정, 
35,덴티움,의료,의료 장비 및 서비스,유,4Q,172.7,126.3,76.6,36.73,잠정,2021-02-23
36,해마로푸드서비스,경기소비재,소비자 서비스,코,4Q,73.1,54.0,30.5,35.39,잠정,2021-02-10
37,엘비세미콘,IT,반도체,코,4Q,159.4,117.8, ,35.38,확정, 
38,삼성바이오로직스,의료,제약 및 바이오,유,4Q,925.8,693.0, ,33.59,확정, 
39,DGB금융지주,금융,은행,유,4Q,922.8,705.6,554.6,30.78,잠정,2021-02-08
40,환인제약,의료,제약 및 바이오,유,4Q,71.9,55.0, ,30.69,확정, 
41,네오팜,필수소비재,생활용품,코,4Q,65.8,50.5, ,30.39,확정, 
42,기아차,경기소비재,자동차 및 부품,유,4Q,"12,816.1","9,914.9", ,29.26,확정, 
43,파마리서치프로덕트,의료,제약 및 바이오,코,4Q,112.9,88.3,63.8,27.78,잠정,2021-02-01
44,F&F,경기소비재,내구소비재 및 의류,유,4Q,721.5,564.9, ,27.72,확정, 
45,휴비스,경기소비재,내구소비재 및 의류,유,4Q,76.5,60.0, ,27.48,확정, 
46,바텍,의료,의료 장비 및 서비스,코,4Q,146.9,115.3,106.2,27.37,잠정,2021-02-01
47,HMM,산업재,운송,유,4Q,"5,670.2","4,481.6", ,26.52,확정, 
48,연우,소재,소재,코,4Q,66.5,52.8,43.7,26.10,잠정,2021-02-15
49,SK텔레콤,통신서비스,통신서비스,유,4Q,"3,262.7","2,596.7", ,25.65,확정, 
50,한국타이어앤테크놀로지,경기소비재,자동차 및 부품,유,4Q,"2,274.5","1,813.5","1,172.4",25.42,잠정,2021-03-12
51,미래에셋대우,금융,증권,유,4Q,"2,971.3","2,370.5","1,526.1",25.34,잠정,2021-02-25
52,한세실업,경기소비재,내구소비재 및 의류,유,4Q,105.8,84.8,-42.9,24.75,잠정,2021-02-18
53,에이피티씨,IT,반도체,코,4Q,134.5,108.0, ,24.57,확정, 
54,세경하이테크,IT,하드웨어,코,4Q,65.4,52.5,-60.7,24.57,잠정,2021-02-25
55,이엠텍,IT,하드웨어,코,4Q,109.5,88.0, ,24.38,확정, 
56,한라홀딩스,경기소비재,자동차 및 부품,유,4Q,477.0,384.0, ,24.22,확정, 
57,제이브이엠,의료,의료 장비 및 서비스,코,4Q,58.4,47.0, ,24.21,확정, 
